Name,Alternating,DT Name,DT Rank,DT Notation,Conway Notation,Gauss Notation,PD Notation,Crossing Number,Unknotting Number,Bridge Index,Braid Index,Braid Length,Braid Notation,Symmetry Type,Full Symmetry Group,Montesinos Notation
12a_590,Y,12a_590,1392,[4; 12; 16; 20; 14; 2; 8; 10; 22; 24; 6; 18],[(3;2+1) 1 (3;2)],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 7; -8; 9; -4; 10; -11; 12; -6; 5; -10; 11; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;20;8;21];[9;15;10;14];[11;3;12;2];[13;9;14;8];[15;11;16;10];[17;23;18;22];[19;1;20;24];[21;6;22;7];[23;19;24;18]],12,3,3,4,,{-1;2;2;2;-1;2;3;3;3;3;2;2;-3},chiral,1,Not Montesinos
12a_591,Y,12a_591,1393,[4; 12; 16; 20; 14; 2; 10; 8; 22; 24; 6; 18],[2 4 1;3;2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 9; -8; 7; -4; 10; -11; 12; -6; 5; -10; 11; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;20;8;21];[9;15;10;14];[11;3;12;2];[13;11;14;10];[15;9;16;8];[17;23;18;22];[19;1;20;24];[21;6;22;7];[23;19;24;18]],12,2,3,5,,{1;-2;1;2;3;-4;3;3;3;-4;3;2;2;-3},reversible,D1,K(1/2;1/3;9/11)
12a_592,Y,12a_592,1394,[4; 12; 16; 20; 14; 22; 2; 8; 24; 6; 10; 18],[2.2.2.2 1.2 0],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 10; -3; 2; -8; 7; -4; 11; -12; 5; -6; 9; -10; 12; -11},[[1;5;2;4];[3;12;4;13];[5;17;6;16];[7;21;8;20];[9;15;10;14];[11;23;12;22];[13;2;14;3];[15;9;16;8];[17;1;18;24];[19;7;20;6];[21;11;22;10];[23;19;24;18]],12,[2;3],3,5,,{-1;2;2;3;3;2;2;-3;-4;1;1;-2;3;2;-4;2},chiral,1,Not Montesinos
12a_593,Y,12a_593,1395,[4; 12; 16; 20; 18; 2; 10; 22; 24; 8; 14; 6],[3:2 2 0:2 0],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 9; -10; 11; -4; 12; -8; 7; -6; 10; -11; 5; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;20;8;21];[9;18;10;19];[11;3;12;2];[13;11;14;10];[15;22;16;23];[17;1;18;24];[19;8;20;9];[21;14;22;15];[23;6;24;7]],12,2,3,5,,{-1;2;2;-3;1;-3;1;2;-3;-4;2;3;-4;-3},chiral,1,Not Montesinos
12a_594,Y,12a_594,1396,[4; 12; 16; 20; 18; 2; 22; 24; 10; 8; 6; 14],[5 1;3;2 1],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 9; -8; 7; -6; 5; -10; 11; -12},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;20;8;21];[9;18;10;19];[11;3;12;2];[13;22;14;23];[15;24;16;1];[17;10;18;11];[19;8;20;9];[21;6;22;7];[23;14;24;15]],12,2,3,5,,{1;-2;-3;-4;2;3;-4;-3;-2;1;1;-2;-2;-2},reversible,D1,K(2/3;1/3;5/6)
12a_595,Y,12a_595,1397,[4; 12; 16; 20; 18; 2; 24; 10; 22; 8; 6; 14],[4 1 1 1 2 1 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 9; -4; 12; -8; 7; -6; 5; -12; 11; -10},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;20;8;21];[9;18;10;19];[11;3;12;2];[13;24;14;1];[15;11;16;10];[17;23;18;22];[19;8;20;9];[21;6;22;7];[23;14;24;15]],12,2,2,6,,{-1;2;3;-4;5;-1;3;5;-2;-4;5;3;-2},reversible,D2,K(30/139)
12a_596,Y,12a_596,1398,[4; 12; 16; 20; 18; 2; 24; 22; 10; 8; 6; 14],[5 1 3 1 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 9; -8; 7; -6; 5; -12; 11; -10},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;20;8;21];[9;18;10;19];[11;3;12;2];[13;24;14;1];[15;22;16;23];[17;10;18;11];[19;8;20;9];[21;6;22;7];[23;14;24;15]],12,2,2,6,,{-1;-2;-3;4;5;-3;5;-4;5;-4;-3;-2;-1;2;3},reversible,D2,K(14/81)
12a_597,Y,12a_597,1399,[4; 12; 16; 20; 18; 14; 2; 24; 22; 8; 6; 10],[4 1 2 1 2 2],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 10; -3; 2; -10; 11; -4; 12; -8; 7; -6; 5; -12; 9; -11},[[1;5;2;4];[3;12;4;13];[5;16;6;17];[7;21;8;20];[9;19;10;18];[11;15;12;14];[13;2;14;3];[15;24;16;1];[17;22;18;23];[19;9;20;8];[21;7;22;6];[23;10;24;11]],12,[2;3],2,6,,{-1;2;-3;4;5;-1;-3;-4;5;4;-3;2;-3},reversible,D2,K(26/123)
12a_598,Y,12a_598,1400,[4; 12; 16; 20; 22; 2; 18; 10; 24; 14; 8; 6],[.2 1.2.3 1 0],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 9; -4; 12; -10; 11; -6; 7; -8; 5; -12},[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;20;8;21];[9;22;10;23];[11;3;12;2];[13;19;14;18];[15;11;16;10];[17;1;18;24];[19;15;20;14];[21;8;22;9];[23;6;24;7]],12,2,3,4,,{1;1;1;2;-3;2;-1;2;2;-3;-3;-3;2},chiral,1,Not Montesinos
12a_599,Y,12a_599,1401,[4; 12; 16; 20; 22; 2; 18; 24; 10; 14; 8; 6],[.3 1.2.2 1 0],{1; -2; 3; -1; 4; -5; 6; -7; 8; -9; 2; -3; 10; -11; 12; -4; 9; -10; 11; -6; 7; -8; 5; -12},[[1;5;2;4];[3;13;4;12];[5;16;6;17];[7;20;8;21];[9;22;10;23];[11;3;12;2];[13;18;14;19];[15;24;16;1];[17;10;18;11];[19;14;20;15];[21;8;22;9];[23;6;24;7]],12,2,3,4,,{-1;-1;-1;-2;3;3;-2;-2;1;-2;3;-2;-1},chiral,1,Not Montesinos
